MovieID,Title,Genre,ReleaseYear,Director,Rating,Duration,Country
1,Pulp Fiction (1),Romance,1975,Guillermo del Toro,7.7,103,USA
2,Coco (2),Animation,1991,Pixar Team,6.7,107,Italy
3,Goodfellas (3),Animation,2014,Hayao Miyazaki,7.0,145,UK
4,The Prestige (4),Crime,1974,Christopher Nolan,7.4,147,UK
5,Interstellar (5),Drama,2012,Bong Joon-ho,6.9,92,France
6,"Monsters, Inc. (6)",Fantasy,1986,Francis Ford Coppola,9.0,188,France
7,Frozen (7),Fantasy,1983,Pixar Team,8.3,157,Italy
8,Inception (8),Crime,2019,David Fincher,8.0,177,Germany
9,The Social Network (9),Crime,1993,Ridley Scott,6.6,186,Japan
10,Roma (10),Drama,2001,David Fincher,7.3,132,Italy
11,Goodfellas (11),Crime,1974,Alfonso Cuaron,7.9,163,Italy
12,The Dark Knight (12),Thriller,2007,Quentin Tarantino,9.0,136,USA
13,Inside Out (13),Thriller,1995,Ridley Scott,8.0,195,USA
14,Tenet (14),Romance,2001,Guillermo del Toro,8.4,119,Germany
15,Gladiator (15),Sci-Fi,2004,Francis Ford Coppola,7.6,149,USA
16,Inception (16),Sci-Fi,1999,Hayao Miyazaki,6.6,192,Italy
17,Life Is Beautiful (17),Romance,1997,David Fincher,7.8,103,UK
18,Fight Club (18),Animation,2015,Quentin Tarantino,6.7,91,Mexico
19,Kill Bill: Vol. 1 (19),Crime,1971,Martin Scorsese,7.3,150,USA
20,Children of Men (20),Animation,1996,Martin Scorsese,6.6,171,Japan
21,Finding Nemo (21),Drama,2015,Pixar Team,8.5,137,South Korea
22,Gravity (22),Drama,2022,Anthony Russo,8.4,187,Mexico
23,The Irishman (23),Romance,1979,Anthony Russo,8.5,127,Mexico
24,Toy Story (24),Sci-Fi,2004,Martin Scorsese,8.1,170,Japan
25,Heat (25),Crime,1997,Christopher Nolan,8.7,148,USA
26,Inside Out (26),Fantasy,2017,Alfonso Cuaron,8.7,181,Germany
27,Avatar (27),Crime,2020,Guillermo del Toro,6.6,156,Italy
28,The Social Network (28),Sci-Fi,1991,Ridley Scott,6.8,182,Italy
29,The Shawshank Redemption (29),Animation,1975,Makoto Shinkai,9.3,121,South Korea
30,The Lion King (30),Romance,1995,Christopher Nolan,9.3,100,South Korea
31,Fight Club (31),Thriller,2018,Anthony Russo,9.2,114,France
32,Casino (32),Thriller,1975,James Cameron,7.5,133,Japan
33,The Irishman (33),Sci-Fi,2020,Anthony Russo,8.0,183,Mexico
34,The Dark Knight (34),Romance,2015,Pixar Team,9.0,200,Germany
35,Frozen (35),Crime,1984,Pixar Team,8.0,106,USA
36,The Prestige (36),Fantasy,1991,Alfonso Cuaron,8.3,178,USA
37,Toy Story (37),Fantasy,1993,David Fincher,9.1,130,Italy
38,The Godfather Part II (38),Fantasy,1991,Guillermo del Toro,8.8,195,Japan
39,Coco (39),Action,2023,Steven Spielberg,7.6,123,Japan
40,Goodfellas (40),Crime,1993,Quentin Tarantino,9.3,105,France
41,Fight Club (41),Animation,1973,Steven Spielberg,6.7,139,France
42,Oldboy (42),Fantasy,2006,Guillermo del Toro,9.4,131,South Korea
43,Oppenheimer (43),Fantasy,1987,Pixar Team,7.8,163,Italy
44,The Departed (44),Fantasy,2002,James Cameron,9.2,125,Italy
45,Pulp Fiction (45),Sci-Fi,1977,Christopher Nolan,7.8,153,Japan
46,The Silence of the Lambs (46),Action,2000,Ridley Scott,6.9,137,South Korea
47,The Prestige (47),Action,1999,Ridley Scott,9.2,166,France
48,Pan's Labyrinth (48),Action,1990,Alfonso Cuaron,7.7,178,UK
49,Django Unchained (49),Romance,1980,Steven Spielberg,7.6,95,USA
50,Se7en (50),Sci-Fi,1982,Christopher Nolan,7.3,111,South Korea
51,Avatar (51),Fantasy,1999,Hayao Miyazaki,7.3,101,UK
52,WALL-E (52),Romance,2021,Hayao Miyazaki,8.1,98,Mexico
53,Finding Nemo (53),Fantasy,1977,Christopher Nolan,8.2,187,Mexico
54,The Social Network (54),Animation,1979,Francis Ford Coppola,6.9,117,South Korea
55,Interstellar (55),Thriller,1983,Quentin Tarantino,7.7,93,USA
56,Finding Nemo (56),Animation,2005,Christopher Nolan,6.6,121,Mexico
57,Cinema Paradiso (57),Romance,1981,Makoto Shinkai,6.8,175,Italy
58,The Godfather Part II (58),Action,2017,Martin Scorsese,8.9,149,South Korea
59,Finding Nemo (59),Thriller,2002,David Fincher,9.3,140,South Korea
60,Coco (60),Drama,2001,Pixar Team,6.6,107,Germany
61,Roma (61),Drama,1978,Quentin Tarantino,7.9,200,Italy
62,Goodfellas (62),Action,1998,Ridley Scott,7.6,136,South Korea
63,Coco (63),Action,1976,Ridley Scott,9.0,186,UK
64,Heat (64),Animation,2017,Quentin Tarantino,8.8,116,Mexico
65,Gladiator (65),Crime,1978,Anthony Russo,7.9,198,USA
66,The Matrix (66),Drama,1991,Christopher Nolan,6.8,118,Germany
67,"Monsters, Inc. (67)",Thriller,2012,Steven Spielberg,6.7,109,UK
68,Ratatouille (68),Drama,1978,David Fincher,6.6,146,South Korea
69,The Departed (69),Thriller,2020,Steven Spielberg,7.5,108,UK
70,Life Is Beautiful (70),Action,1988,Martin Scorsese,8.5,134,South Korea
71,Pulp Fiction (71),Action,2005,Quentin Tarantino,6.8,121,France
72,The Departed (72),Sci-Fi,2005,Guillermo del Toro,6.5,167,France
73,Finding Nemo (73),Animation,1993,David Fincher,6.9,143,USA
74,The Prestige (74),Romance,1992,Martin Scorsese,8.6,90,Italy
75,Fight Club (75),Action,2011,Makoto Shinkai,6.7,182,Japan
76,Memento (76),Animation,1998,Pixar Team,6.8,166,South Korea
77,Up (77),Drama,1982,Hayao Miyazaki,8.7,144,Germany
78,Titanic (78),Sci-Fi,1994,Christopher Nolan,7.3,93,Japan
79,The Godfather (79),Animation,1981,Quentin Tarantino,6.9,181,UK
80,The Hateful Eight (80),Drama,1974,Martin Scorsese,6.7,122,Italy
81,Your Name (81),Romance,1996,Quentin Tarantino,8.4,156,UK
82,Amelie (82),Drama,1991,Makoto Shinkai,8.9,171,France
83,WALL-E (83),Thriller,1970,Quentin Tarantino,9.0,169,UK
84,WALL-E (84),Crime,2022,Anthony Russo,9.2,135,Japan
85,Your Name (85),Crime,1970,Steven Spielberg,7.1,90,Mexico
86,Your Name (86),Drama,1981,Ridley Scott,7.3,111,Mexico
87,Avatar (87),Drama,1971,Quentin Tarantino,8.9,140,France
88,Casino (88),Action,2010,David Fincher,8.1,114,France
89,Avatar (89),Animation,1971,David Fincher,6.9,126,South Korea
90,"Monsters, Inc. (90)",Thriller,2001,Christopher Nolan,7.8,200,Japan
91,The Matrix (91),Action,2005,Hayao Miyazaki,9.2,98,Germany
92,Heat (92),Thriller,1995,James Cameron,8.7,200,Mexico
93,Pan's Labyrinth (93),Animation,1974,Pixar Team,9.1,101,Germany
