enrollment_id,student_id,course_id,enrollment_date,grade
1,13,26,2022-01-06,C
2,2,24,2019-06-17,C
3,14,30,2021-04-17,C
4,15,3,2025-04-26,B
5,17,30,2021-04-11,A
6,2,5,2021-04-26,F
7,9,11,2017-05-23,B
8,40,20,2018-06-09,F
9,19,1,2017-05-10,D
10,26,30,2022-08-26,F
11,26,26,2022-04-01,D
12,37,18,2018-02-20,F
13,19,18,2015-10-27,D
14,45,16,2025-04-13,B
15,28,2,2022-11-21,A
16,47,29,2024-04-22,A
17,18,22,2018-07-13,D
18,47,13,2020-05-07,A
19,25,23,2022-03-16,A
20,48,14,2017-07-30,F
21,1,25,2020-02-23,B
22,41,1,2018-12-28,B
23,44,9,2025-03-29,B
24,25,6,2018-07-01,C
25,41,20,2018-07-19,D
26,3,12,2017-10-01,F
27,30,1,2018-11-21,D
28,32,5,2021-10-22,C
29,45,27,2021-05-14,C
30,36,5,2020-08-05,D
31,45,1,2020-03-24,C
32,15,14,2025-12-14,D
33,15,20,2020-09-12,C
34,32,10,2024-04-11,F
35,15,29,2019-08-29,C
36,7,5,2017-01-30,F
37,3,25,2022-12-07,A
38,50,13,2016-05-27,C
39,5,7,2022-05-23,B
40,1,4,2018-10-12,C
41,38,8,2022-04-26,F
42,40,9,2025-08-24,F
43,37,10,2018-11-21,C
44,26,1,2021-07-07,A
45,38,15,2019-12-09,C
46,16,9,2016-02-12,B
47,44,10,2022-07-16,A
48,33,5,2016-07-31,F
49,13,23,2018-01-03,B
50,17,30,2019-01-08,A
51,6,30,2022-11-12,B
52,48,8,2022-12-25,A
53,9,1,2015-05-27,B
54,25,14,2021-07-01,D
55,2,6,2025-09-15,B
56,44,17,2020-10-17,B
57,32,27,2016-03-05,C
58,48,3,2023-04-26,B
59,2,3,2024-01-19,C
60,9,30,2019-01-18,C
61,14,10,2017-03-13,F
62,22,13,2015-10-17,C
63,11,9,2020-04-19,F
64,11,18,2023-01-10,B
65,25,1,2019-12-26,B
66,17,5,2023-08-22,B
67,36,24,2021-09-23,C
68,45,9,2018-04-02,A
69,34,19,2019-02-18,D
70,36,7,2019-03-24,A
71,7,21,2021-01-17,B
72,30,26,2020-08-17,B
73,5,22,2024-05-16,F
74,7,26,2016-03-17,D
75,10,25,2023-01-24,A
76,29,21,2016-05-10,D
77,17,10,2016-06-26,F
78,34,8,2024-01-14,B
79,41,4,2019-10-15,B
80,18,8,2024-01-06,A
81,43,11,2022-06-11,D
82,36,26,2023-04-20,F
83,17,7,2019-03-11,D
84,20,1,2018-04-09,F
85,28,15,2019-09-11,D
86,7,16,2020-04-27,B
87,38,2,2018-12-05,B
88,33,7,2017-06-15,A
89,38,26,2024-09-02,F
90,14,6,2016-06-24,B
91,42,1,2024-04-13,A
92,9,1,2025-03-22,A
93,17,4,2024-04-18,F
94,20,27,2024-02-19,A
95,31,20,2021-07-22,B
96,22,21,2016-01-17,A
97,1,21,2019-08-15,A
98,20,15,2025-12-09,A
99,5,13,2025-09-04,B
100,29,11,2025-12-05,D
101,48,22,2016-08-11,F
102,25,28,2017-10-14,D
103,10,14,2022-09-07,C
104,46,30,2017-07-11,D
105,1,15,2018-11-09,A
106,45,16,2025-02-27,C
107,8,20,2018-01-24,A
108,34,7,2015-04-18,A
109,26,21,2018-08-17,F
110,32,21,2017-01-16,B
111,48,9,2019-10-18,A
112,10,4,2016-11-30,D
113,15,29,2016-03-22,B
114,47,14,2022-05-15,A
115,13,19,2020-01-05,D
116,33,11,2021-04-27,D
117,27,9,2025-04-25,D
118,4,6,2022-05-11,A
119,24,15,2015-02-17,C
120,50,2,2020-03-05,F
121,42,4,2024-02-07,F
122,29,14,2024-01-16,B
123,3,3,2016-11-08,B
124,29,19,2019-12-01,A
125,21,28,2019-08-15,C
126,22,14,2021-04-18,F
127,32,9,2022-02-14,C
128,28,3,2017-01-05,B
129,32,16,2023-03-15,F
130,35,3,2018-10-18,C
131,35,11,2024-01-12,D
132,23,18,2023-12-08,C
133,45,28,2020-12-17,C
134,45,6,2018-10-19,A
135,7,15,2024-08-16,D
136,30,26,2025-09-30,D
137,47,23,2021-06-10,B
138,28,8,2022-09-11,B
139,23,15,2018-08-02,D
140,27,17,2016-02-03,A
141,46,12,2023-03-11,D
142,49,1,2025-11-09,B
143,43,2,2016-08-09,C
144,38,28,2022-01-14,A
145,13,26,2015-04-17,C
146,44,13,2020-08-15,B
147,13,23,2024-10-05,C
148,21,27,2018-10-30,D
149,16,26,2017-03-02,D
150,1,8,2017-07-25,F
151,15,26,2024-07-18,D
152,48,6,2023-06-24,A
153,46,27,2025-10-21,D
154,9,5,2020-03-24,F
155,43,12,2021-11-20,B
156,21,1,2016-02-08,B
157,9,28,2016-05-17,A
158,22,20,2019-11-16,F
159,22,25,2022-04-30,F
160,23,7,2019-04-29,A
161,28,7,2019-12-26,B
162,8,6,2022-03-13,B
163,36,12,2016-04-02,A
164,42,9,2016-08-07,C
165,50,8,2020-09-04,F
166,49,16,2023-06-06,A
167,17,9,2020-06-18,C
168,1,29,2018-09-05,F
169,43,18,2015-04-17,C
170,39,23,2023-08-13,B
171,2,3,2022-12-21,F
172,12,25,2017-06-15,C
173,47,10,2020-01-12,D
174,3,2,2022-08-16,F
175,5,19,2021-05-04,A
176,21,7,2021-08-22,D
177,21,17,2024-04-29,A
178,38,4,2021-03-23,B
179,40,23,2018-05-21,B
180,9,14,2021-07-26,B
181,49,29,2024-08-19,D
182,22,6,2019-09-13,C
183,50,5,2019-01-08,B
184,29,30,2023-06-24,D
185,47,29,2020-07-20,C
186,16,14,2015-12-11,B
187,27,28,2025-10-11,B
188,35,19,2022-03-09,F
189,1,20,2018-10-22,C
190,32,1,2022-08-24,C
191,28,9,2020-06-04,A
