transaction_id,customer_id,product_id,sale_date,sale_type,price
1,23,1,2022-04-20,DEBIT,193
2,31,27,2020-12-19,CASH,276
3,17,29,2023-05-24,DEBIT,80
4,15,30,2024-11-09,CREDIT,460
5,24,18,2024-04-03,DEBIT,464
6,20,15,2020-08-10,DEBIT,441
7,21,9,2021-08-28,CASH,463
8,49,11,2020-06-10,CASH,434
9,6,16,2023-12-13,CASH,280
10,8,13,2023-10-08,DEBIT,205
11,31,16,2020-09-10,DEBIT,214
12,26,24,2021-12-21,CREDIT,482
13,55,2,2020-12-24,CASH,133
14,49,27,2022-10-06,CREDIT,168
15,10,28,2021-02-25,CASH,132
16,33,8,2023-04-15,CREDIT,46
17,22,22,2022-02-16,DEBIT,339
18,3,3,2021-02-22,DEBIT,105
19,58,5,2024-10-19,CREDIT,23
20,21,16,2021-02-23,DEBIT,148
21,38,14,2022-02-18,CREDIT,200
22,9,2,2023-04-27,DEBIT,359
23,28,11,2020-05-10,DEBIT,332
24,23,6,2021-04-18,DEBIT,409
25,18,5,2022-07-11,DEBIT,146
26,6,15,2024-12-09,DEBIT,140
27,21,12,2024-08-14,CREDIT,348
28,34,9,2023-02-12,CASH,407
29,17,19,2023-07-14,CREDIT,301
30,46,8,2024-02-04,CASH,355
31,44,14,2021-11-24,CREDIT,389
32,2,4,2021-10-06,CASH,445
33,49,10,2023-12-18,CASH,56
34,26,15,2024-08-27,CASH,296
35,20,29,2024-06-10,DEBIT,61
36,14,10,2020-03-27,CREDIT,198
37,1,22,2020-08-18,DEBIT,431
38,15,12,2023-05-20,DEBIT,130
39,38,29,2023-07-14,CREDIT,261
40,31,8,2023-12-07,CASH,180
41,39,15,2022-07-24,CASH,205
42,26,18,2022-10-29,DEBIT,252
43,13,25,2022-01-17,CREDIT,306
44,50,13,2023-02-20,CREDIT,319
45,36,30,2022-03-12,CREDIT,401
46,25,29,2022-01-09,CREDIT,348
47,56,7,2023-09-18,CASH,65
48,60,16,2020-06-15,CREDIT,215
49,29,4,2021-01-03,CASH,485
50,49,13,2022-12-15,CASH,285
51,57,7,2023-11-17,CREDIT,230
52,49,15,2022-03-27,DEBIT,66
53,31,12,2020-03-25,DEBIT,230
54,17,29,2023-10-07,CREDIT,259
55,56,15,2023-01-30,CREDIT,312
56,5,29,2024-01-15,CREDIT,113
57,17,12,2021-01-21,CREDIT,430
58,49,26,2024-06-21,DEBIT,324
59,15,14,2024-03-30,CREDIT,81
60,23,9,2022-10-20,CREDIT,53
61,54,14,2022-02-16,DEBIT,311
62,19,6,2023-01-21,DEBIT,459
63,59,19,2023-08-26,CREDIT,11
64,29,26,2023-05-03,CASH,255
65,34,26,2023-04-26,CREDIT,82
66,24,7,2020-09-07,CREDIT,275
67,52,18,2021-09-13,CREDIT,255
68,44,24,2023-11-17,CREDIT,425
69,53,18,2020-08-11,DEBIT,414
70,45,30,2023-12-25,CREDIT,363
71,57,25,2020-11-13,DEBIT,289
72,10,18,2022-11-16,CREDIT,99
73,28,26,2022-10-17,CASH,339
74,33,1,2020-10-19,CREDIT,291
75,8,24,2020-05-19,CASH,305
76,12,24,2020-06-11,CASH,79
77,39,24,2021-03-30,CREDIT,312
78,35,30,2022-01-06,CASH,104
79,45,7,2023-06-06,CREDIT,166
80,56,26,2023-09-17,CASH,327
81,42,22,2024-10-15,CREDIT,467
82,21,17,2021-10-14,DEBIT,147
83,23,27,2024-11-24,CASH,20
84,9,21,2023-11-29,CREDIT,456
85,53,15,2020-09-03,DEBIT,371
86,22,9,2023-03-02,CASH,438
87,47,8,2023-10-07,DEBIT,20
88,45,7,2020-01-18,CREDIT,15
89,59,7,2024-11-29,CREDIT,309
90,55,25,2021-07-04,DEBIT,420
91,20,18,2021-05-19,CREDIT,118
92,37,30,2022-10-27,DEBIT,311
93,5,13,2020-04-21,CASH,182
94,46,30,2021-05-14,CASH,155
95,12,14,2021-08-16,DEBIT,475
96,9,18,2022-10-31,DEBIT,463
97,14,11,2021-08-21,DEBIT,98
98,51,16,2020-04-10,CASH,287
99,40,4,2023-01-10,DEBIT,302
100,16,26,2024-12-31,CASH,222
